 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"50 Mato Grosso do Sul";9636;11323;12093;12705;13212;14611;13770;13427;14128;13285;12134;11729;12535;12222;13210;13619;13743;13546;14003;13535;13742;13598;12985;12675;13627;13951;14119;13960;14302;14092;13505;13582;14071;13628;13401;13158;12885;12363;13507;13545;13025;13054;13506;13172;13878;12688;12890;13203;11936;12512;12844;12961;13187;13342;13565;14071;13442;13196;12080;12442;13309;12983;13511;13407;13416;14276;14647;15065;13950;14315;14197;12990;13283;13019;13092;13585;14028;13413;13670;15292;13206;13287;13638;13210;13125;13504;13896;14384;14382;14353;14344;14012;14212;13821;13323;12111;13732;13152;13729;13641;13816;14104;14243;14205;13981;13231;13456;13224;13108;12671;13352;13347;14241;14153;14375;14496;13877;14038;13765;13518;13580;14400;13596;14031;14477;15077;14751;13760;14277;13888;13799;13220;14284;14362;13840;15333;15150;15165;15865;15606;15150;15269;14163;14335;14798;15158;15158;13293;12867;12246;12490;12244;11891;11785;12444;11381;12198;13068;12690;2154956
"51 Mato Grosso";9975;14381;14226;14946;14725;16518;15560;15505;14207;16131;13888;14390;14082;13551;16154;15254;16086;16171;15298;15097;14368;15428;14752;14321;14805;14627;15594;15497;15822;14908;15700;15315;15456;15280;15247;14082;14790;14289;14611;15859;14529;14319;14256;13031;15301;14702;14689;15005;13512;13969;15629;15797;15642;16430;15930;15849;15876;15097;15050;15259;14853;15170;15694;15987;15461;16353;15134;15697;15152;15125;15666;15679;14586;14629;15592;15943;15964;15940;16021;15914;15857;15685;15963;14592;14571;14788;15710;15838;16537;16250;16046;15733;16139;16227;15701;15572;15805;15000;16431;17063;16279;16883;16573;16811;16839;16278;15450;14589;15184;14900;15979;16531;16801;15749;16347;16635;16032;16088;15671;15049;16098;14770;16814;16263;16726;16322;16621;15482;16272;16000;15307;14967;14952;14861;16602;16386;17400;16431;16562;17579;16505;17358;16180;15886;15309;15662;15128;12938;13437;12343;13049;14108;13881;15137;13802;13905;14342;13510;12179;2440578
"52 Goiás";26465;35549;33115;33963;33713;28746;31687;31746;33019;31025;25964;28137;27440;29836;31985;32075;33137;32015;31310;31491;31414;32194;31817;31522;31914;32688;33859;32603;32863;31605;31017;32352;32494;31640;31465;29793;30954;31131;33124;32007;31058;29599;30044;30728;31195;30164;29730;28469;28427;29152;30527;30164;29443;28866;27426;28147;29040;28386;27415;26602;27954;28539;30063;32297;31991;30296;29702;30385;31111;29693;30181;28432;30085;28353;28540;30355;31219;29826;30602;30499;30981;31290;28794;29435;29614;28761;32058;31330;31943;31538;30341;29783;29440;29401;29536;27468;28199;28145;30335;29790;28169;29264;27511;29046;27819;26627;26040;26241;26643;26080;28840;28313;30301;29027;28004;27883;28467;28714;27928;27206;27986;26314;28527;27636;29040;27847;27573;27883;28420;27887;26996;27444;27664;26783;28431;29226;30350;29528;30345;30437;29791;30680;29162;28167;28129;27687;27938;23199;23867;23291;24878;26709;26000;27224;25808;25995;26240;23215;21926;4668107
"53 Distrito Federal";7754;12057;14746;14759;16769;17922;17780;18938;16225;19654;15043;16464;14713;12297;15668;15377;17835;18119;15986;16186;15844;16384;14698;13350;16305;13523;16728;16437;17060;15202;15567;15867;15083;14753;14661;13807;14485;14426;16353;17156;17734;16486;16124;14986;14848;14592;13065;13086;15111;15099;14760;16878;15693;15375;16343;17011;14929;15747;15223;13246;15308;17282;17646;16789;17550;15202;16632;16959;15536;15181;14277;10907;13810;13780;14249;12732;16167;14378;16253;16883;16067;15830;13932;12340;13727;13574;15194;15523;16096;15412;15557;14489;13678;12829;13650;12407;13128;13097;15772;16244;17100;16362;15166;17541;15583;15310;15860;15233;16649;16448;18589;16156;16318;15389;14746;16292;17074;17200;16475;15368;15631;16426;17832;18224;18967;20016;20651;20867;18029;16171;15489;13924;18416;18502;21665;19535;20376;18886;20111;21948;18031;18302;17029;17791;20333;19301;21542;18856;16576;16669;16408;16497;15813;17226;16468;17789;19217;17761;20457;2562975
"Total";651615;854129;922352;949449;978237;997923;1007078;993013;989240;981118;889306;893695;858270;877994;977757;961244;996732;976705;996882;993408;987439;984649;968423;932056;948889;914313;1000963;993867;1013092;976296;989932;996912;982085;973054;976213;959218;947866;939420;987914;989034;985199;974481;1000566;967078;975723;968026;959819;948342;918846;910827;989292;971467;1002590;981906;983555;985221;954073;949368;922273;870471;910862;888061;949041;988021;994391;972139;993330;1000723;975036;991981;949270;907982;949320;924558;937991;948009;1001658;960803;1000953;1006210;1003205;1000893;966888;912227;932763;905491;990629;990177;1005791;995083;1007998;993040;976498;972736;950956;917691;919331;925419;982535;984177;992327;996515;986758;1002549;964001;947526;919766;906808;911976;891313;986352;948632;1019184;991401;997251;1011763;990791;995036;975505;956065;968989;930092;1010157;1022183;1034183;1012465;1029580;1035472;1004115;1022308;983281;948013;995560;962364;1011757;1031087;1078547;1032510;1065640;1072100;1043992;1067508;1013572;981646;1014705;981613;970687;788275;799564;803949;859805;870457;878049;919414;907132;874935;890323;867958;868269;153054547
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
